"","country_code","country","diet","attribute","centile_up","value","centile_down","value_baseline","diff_baseline","X._diff_baseline","value_baseline_adj","diff_baseline_adj","X._diff_baseline_adj"
"1",1,"Armenia","2/3_vegan","kg_co2_luc_feed_palm",0,0.318073206101482,0,0.954816257836077,-0.636743051734594,-0.666874957887354,0.954219618304447,-0.636146412202965,-0.666666666666667
"2",1,"Armenia","2/3_vegan","kg_co2_luc_feed_soy",0,12.2508406982072,0,36.7755021373162,-24.524661439109,-0.666874957887354,36.7525220946215,-24.5016813964143,-0.666666666666667
"3",1,"Armenia","2/3_vegan","kg_co2_luc_human_palm_soy",0,0.243607781405765,0,0.243760100672537,-0.000152319266771755,-0.000624873662061613,0.243607781405765,0,0
"4",1,"Armenia","2/3_vegan","kg_co2_luc_pasture",0,1.1439146412953,0,3.4338896710998,-2.2899750298045,-0.666874957887354,3.4317439238859,-2.2878292825906,-0.666666666666667
"5",1,"Armenia","2/3_vegan","kg_co2e_excl_luc",289.726653213082,784.83609248401,136.859964166335,1604.21252378081,-819.376431296804,-0.510765512144049,1603.21009362636,-818.374001142345,-0.510459611248603
"6",1,"Armenia","2/3_vegan","kg_co2e_total",289.726653213082,798.79252881102,136.859964166335,1645.62049194774,-846.827963136719,-0.514594930775578,1644.59218704457,-845.799658233553,-0.514291424279173
"7",1,"Armenia","2/3_vegan","l_blue_green_wf",1547.11471583884,1065401.11280622,1035.02515477894,1441946.21779958,-376545.104993361,-0.261136719487341,1441045.18358597,-375644.070779749,-0.260674734601297
"8",1,"Armenia","2/3_vegan","l_blue_wf_brackish_pond",7.2139365286064,6.70873935967355,0.154020291625165,20.1388022861547,-13.4300629264812,-0.666874957887354,20.1262180790207,-13.4174787193471,-0.666666666666667
"9",1,"Armenia","2/3_vegan","l_blue_wf_excl_pond",33.3244428575655,171178.45309714,22.9290727121647,186812.159720739,-15633.706623599,-0.083686772033306,186695.425722376,-15516.9726252367,-0.0831138340170746
"10",1,"Armenia","2/3_vegan","l_blue_wf_freshwater_pond",1368.94719705027,1399.16138761852,716.925352435256,4200.10870016007,-2800.94731254156,-0.666874957887354,4197.48416285555,-2798.32277523703,-0.666666666666667
"11",1,"Armenia","2/3_vegan","l_blue_wf_total",1409.48557643644,172584.323224118,740.008445439046,191032.407223185,-18448.083999067,-0.0965704419853432,190913.036103311,-18328.7128791931,-0.0960055596689304
"12",1,"Armenia","2/3_vegan","l_green_wf",137.629139402404,892816.789582101,295.016709339899,1250913.8105764,-358097.020994294,-0.286268340765453,1250132.14748266,-357315.357900556,-0.285822069786836
"13",1,"Armenia","baseline","kg_co2_luc_feed_palm",0,0.954816257836077,0,0.954816257836077,0,0,0.954219618304447,0.000596639531629806,0.000625264373300116
"14",1,"Armenia","baseline","kg_co2_luc_feed_soy",0,36.7755021373162,0,36.7755021373162,0,0,36.7525220946215,0.0229800426946909,0.000625264373300082
"15",1,"Armenia","baseline","kg_co2_luc_human_palm_soy",0,0.243760100672537,0,0.243760100672537,0,0,0.243607781405765,0.000152319266771755,0.000625264373300314
"16",1,"Armenia","baseline","kg_co2_luc_pasture",0,3.4338896710998,0,3.4338896710998,0,0,3.4317439238859,0.00214574721389393,0.000625264373299805
"17",1,"Armenia","baseline","kg_co2e_excl_luc",288.764933830881,1604.21252378081,137.358184720816,1604.21252378081,0,0,1603.21009362636,1.00243015445903,0.000625264373299699
"18",1,"Armenia","baseline","kg_co2e_total",288.764933830881,1645.62049194774,137.358184720816,1645.62049194774,0,0,1644.59218704457,1.02830490316592,0.000625264373299645
"19",1,"Armenia","baseline","l_blue_green_wf",4644.2462146562,1441946.21779958,3107.01695740109,1441946.21779958,0,0,1441045.18358597,901.034213612089,0.000625264373300156
"20",1,"Armenia","baseline","l_blue_wf_brackish_pond",21.655341438327,20.1388022861547,0.46234978507885,20.1388022861547,0,0,20.1262180790207,0.0125842071340756,0.000625264373299882
"21",1,"Armenia","baseline","l_blue_wf_excl_pond",100.035838333333,186812.159720739,68.8302283333334,186812.159720739,0,0,186695.425722376,116.733998362324,0.000625264373300246
"22",1,"Armenia","baseline","l_blue_wf_freshwater_pond",4109.40945288454,4200.10870016007,2152.12086094935,4200.10870016007,0,0,4197.48416285555,2.62453730452489,0.000625264373300082
"23",1,"Armenia","baseline","l_blue_wf_total",4231.1006326562,191032.407223185,2221.41343906776,191032.407223185,0,0,190913.036103311,119.371119873947,0.000625264373300055
"24",1,"Armenia","baseline","l_green_wf",413.145582000001,1250913.8105764,885.603518333334,1250913.8105764,0,0,1250132.14748266,781.663093738956,0.000625264373300824
"25",1,"Armenia","baseline_adjusted","kg_co2_luc_feed_palm",0,0.954219618304447,0,0.954816257836077,-0.000596639531629806,-0.000624873662061415,0.954219618304447,0,0
"26",1,"Armenia","baseline_adjusted","kg_co2_luc_feed_soy",0,36.7525220946215,0,36.7755021373162,-0.0229800426946909,-0.000624873662061381,36.7525220946215,0,0
"27",1,"Armenia","baseline_adjusted","kg_co2_luc_human_palm_soy",0,0.243607781405765,0,0.243760100672537,-0.000152319266771755,-0.000624873662061613,0.243607781405765,0,0
"28",1,"Armenia","baseline_adjusted","kg_co2_luc_pasture",0,3.4317439238859,0,3.4338896710998,-0.00214574721389393,-0.000624873662061105,3.4317439238859,0,0
"29",1,"Armenia","baseline_adjusted","kg_co2e_excl_luc",288.584492229203,1603.21009362636,137.272353208915,1604.21252378081,-1.00243015445903,-0.000624873662060999,1603.21009362636,0,0
