"","country","national_population","national_population_ref_year","school_aged_population","school_aged_population_ref_year","per_capita_gni","per_capita_gni_ref_year","isced_6_enrollment","isced_6_ref_year","isced_7_enrollment","isced_7_ref_year","isced_8_enrollment","isced_8_ref_year","university_enrollment","proportion_school_aged","proportion_school_aged_enrolled","baseline_per_capita_kg_co2e","baseline_adjusted_per_capita_kg_co2e","baseline_oecd_per_capita_kg_co2e","meatless_day_per_capita_kg_co2e","low_red_meat_per_capita_kg_co2e","no_red_meat_per_capita_kg_co2e","no_dairy_per_capita_kg_co2e","pescetarian_per_capita_kg_co2e","lacto_ovo_vegetarian_per_capita_kg_co2e","eat_lancet_per_capita_kg_co2e","two_thirds_vegan_per_capita_kg_co2e","vegan_per_capita_kg_co2e","baseline_population_kg_co2e","baseline_adjusted_population_kg_co2e","baseline_oecd_population_kg_co2e","meatless_day_population_kg_co2e","low_red_meat_population_kg_co2e","no_red_meat_population_kg_co2e","no_dairy_population_kg_co2e","pescetarian_population_kg_co2e","lacto_ovo_vegetarian_population_kg_co2e","eat_lancet_population_kg_co2e","two_thirds_vegan_population_kg_co2e","vegan_population_kg_co2e","baseline_adjusted_population_reduction_kg_co2e","baseline_oecd_population_reduction_kg_co2e","meatless_day_population_reduction_kg_co2e","low_red_meat_population_reduction_kg_co2e","no_red_meat_day_population_reduction_kg_co2e","no_dairy_population_reduction_kg_co2e","pescetarian_population_reduction_kg_co2e","lacto_ovo_vegetarian_population_reduction_kg_co2e","eat_lancet_population_reduction_kg_co2e","two_thirds_vegan_population_reduction_kg_co2e","vegan_population_reduction_kg_co2e","baseline_adjusted_population_percent_reduction_kg_co2e","baseline_oecd_population_percent_reduction_kg_co2e","meatless_day_population_percent_reduction_kg_co2e","low_red_meat_population_percent_reduction_kg_co2e","no_red_meat_day_population_percent_reduction_kg_co2e","no_dairy_population_percent_reduction_kg_co2e","pescetarian_population_percent_reduction_kg_co2e","lacto_ovo_vegetarian_population_percent_reduction_kg_co2e","eat_lancet_population_percent_reduction_kg_co2e","two_thirds_vegan_population_percent_reduction_kg_co2e","vegan_population_percent_reduction_kg_co2e"
"64","Latvia",1916000,2019,87721,2018,16510,2018,46164,2018,18323,2018,2196,2018,66683,0.0457834029227557,0.760171452673818,1016.23626075635,1012.79060024939,1308.91155256872,1001.4693160998,966.440142621004,786.341711313957,653.686120206293,799.589976437606,933.485870520761,457.07,550.910176073236,319.969925867988,67765682.5760155,67535915.5964298,87282149.0599401,66780978.4054828,64445128.0303964,52435624.3355486,43589751.5537163,53319058.3987889,62247638.3039359,30478798.81,36736343.2710916,21336554.5666551,229766.979585797,-19516466.4839245,984704.170532793,3320554.54561913,15330058.2404669,24175931.0222993,14446624.1772266,5518044.27207967,37286883.7660155,31029339.3049239,46429128.0093605,0.00339060968401016,-0.287999260717725,0.0145310153030365,0.0490005327090792,0.22622155725017,0.356757729034606,0.213184957755296,0.0814282991378395,0.550232541732157,0.457891636671955,0.685142187674108
"65","Lebanon",6856000,2019,0,0,7920,2018,191885,2019,25031,2019,4230,2019,221146,0,Inf,1402.33213779342,1567.92735130357,2170.51558148498,1509.49420372264,1465.07460470047,1024.76719819298,1252.54276515223,707.076823417585,1158.89531823704,857.73,719.391528700264,295.123617398611,310120142.944463,346740862.031379,480000838.783078,333818605.176446,323995388.53109,226623166.811586,276994822.342355,156367211.191505,256285064.046848,189683558.58,159090559.005948,65265407.4932333,-36620719.086916,-169880695.838616,-23698462.2319829,-13875245.5866272,83496976.1328772,33125320.6021075,153752931.752958,53835078.8976147,120436584.364463,151029583.938514,244854735.45123,-0.118085586892929,-0.547789944328248,-0.076417036336227,-0.0447415168034151,0.269240737928558,0.106814476117534,0.495785053796045,0.173594267003984,0.388354600965185,0.487003464220514,0.789547989777235
"66","Lithuania",2778000,2019,160432,2018,17430,2018,88468,2018,27076,2018,2743,2018,118287,0.0577508999280058,0.737303031814102,1213.37163115928,1100.99124629831,1321.98560428824,1057.6890385793,1068.70161120712,901.65684089452,636.434412676099,865.800944079005,797.869222216602,458.75,561.119637999171,291.199908576012,143526090.134938,130232951.550888,156373711.174444,125110863.306429,126413507.484857,106654282.73889,75281917.3722177,102412996.272273,94377556.6883352,54264161.25,66373158.6200079,34445163.5857307,13293138.5840501,-12847621.0395055,18415226.8285089,17112582.6500815,36871807.3960481,68244172.7627204,41113093.8626648,49148533.4466029,89261928.8849381,77152931.5149302,109080926.549207,0.092618272897648,-0.0895141853820907,0.128305779187572,0.119229769542198,0.256899685356039,0.475482699337519,0.286450315925222,0.342436231631442,0.621921274390024,0.537553356622435,0.760007650502103
"67","Luxembourg",615000,2019,37885,2018,70870,2018,3050,2018,2534,2018,693,2018,6277,0.0616016260162602,0.165685627557081,2143.29760515915,1998.22095997295,1750.07724787031,1872.0893267695,1567.12717194034,1014.18772571246,1523.13126084897,1004.55012630613,1115.29952754881,604.81,867.925124468229,302.777206715871,13453479.067584,12542832.9657502,10985234.8848819,11751104.7041321,9836857.2582695,6366056.35429712,9560694.92434899,6305561.1428236,7000735.1344239,3796392.37,5447966.00628707,1900532.52655552,910646.101833833,2468244.1827021,1702374.36345187,3616621.80931451,7087422.71328689,3892784.14323502,7147917.92476042,6452743.93316011,9657086.69758401,8005513.06129694,11552946.5410285,0.0676885211073784,0.183465122315409,0.126537853509857,0.26882427892044,0.526809658504167,0.289351484748256,0.531306280617274,0.479633847924729,0.717813336540779,0.595051512034989,0.858733007498794
"68","Macao",640000,2019,34250,2019,79110,2018,25061,2019,6465,2019,2562,2019,34088,0.053515625,0.995270072992701,1771.99850542479,1832.36778890286,2247.9324995464,1722.24914682023,1324.73076540566,948.770601476333,1676.72776386863,851.597065774277,1061.53729432449,737.56,822.330159597459,317.31134494476,60403885.0529203,62461753.1881206,76627523.0445376,58708028.9168081,45157422.3311481,32341692.2631252,57156296.0147539,29029240.7781136,36185683.2889331,25141945.28,28031590.4803582,10816509.126477,-2057868.13520034,-16223637.9916173,1695856.13611215,15246462.7217722,28062192.789795,3247589.0381664,31374644.2748067,24218201.7639871,35261939.7729203,32372294.5725621,49587375.9264433,-0.0340684731354187,-0.268586001999766,0.0280752824859924,0.252408644053518,0.464575958404158,0.0537645721847388,0.519414343089342,0.40093781621446,0.583769400627576,0.535930669760736,0.820930241208814
"69","Madagascar",26969000,2019,2686838,2018,510,2018,123519,2018,17479,2018,756,2018,141754,0.0996269049649598,0.0527586702287224,959.385041612246,2032.78185457313,3802.64115751731,2080.5181052096,2046.94117597907,1732.9488497712,1007.73294495039,696.264589990804,2366.93560902844,1764.24,878.109116577793,300.772747580125,135996667.188702,288154959.013159,539039594.642708,294921763.485882,290162099.459737,245652431.250467,142850175.878497,98698290.6895565,335522590.322218,250088076.96,124475479.711368,42635740.0604731,-152158291.824457,-403042927.454006,-158925096.297179,-154165432.271035,-109655764.061765,-6853508.68979475,37298376.4991458,-199525923.133515,-114091409.771298,11521187.4773338,93360927.1282292,-1.11883838751232,-2.96362356361839,-1.16859552209954,-1.13359713482627,-0.806312142264571,-0.0503946812188063,0.274259489369636,-1.46713832962291,-0.838927983529111,0.0847166898681981,0.686494228558455
"70","Malawi",18629000,2019,1594473,2014,360,2018,0,0,0,0,154,2010,154,0.0855909066509206,9.65836360979458e-05,525.394926388621,526.594415199531,3166.75937301955,495.249580492686,550.394710149534,322.500833741087,506.703478138392,301.249997915877,307.180572251617,1078.01,342.235008965332,250.055305848233,80910.8186638476,81095.5399407278,487680.94344501,76268.4353958737,84760.7853630283,49665.1283961274,78032.3356333124,46392.4996790451,47305.808126749,166013.54,52704.1913806612,38508.5171006279,-184.721276880169,-406770.124781163,4642.38326797394,-3849.96669918066,31245.6902677202,2878.48303053522,34518.3189848025,33605.0105370987,-85102.7213361524,28206.6272831864,42402.3015632197,-0.00228302320914108,-5.02738856803725,0.0573765454933932,-0.0475828419827977,0.386174442227975,0.0355759968576536,0.426621798602884,0.4153339577086,-1.05180892668656,0.3486137916905,0.524062199140321
"71","Malaysia",31950000,2019,2829077,2019,10590,2018,680068,2019,95047,2019,44516,2019,819631,0.0885470109546166,0.28971675214213,1402.10866937992,1441.45024371178,2561.16884273308,1495.66944735708,1386.71400296613,1125.36848756412,1332.42873231068,950.335572834893,1820.9846692289,930,684.013875800547,305.295691844932,1149211730.79253,1181457304.70373,2099213379.73816,1225897044.80673,1136593784.96513,922386898.830671,1092099894.29254,778924495.898236,1492535485.42475,762256830,560638977.036278,250229813.202553,-32245573.9111929,-950001648.945625,-76685314.0141964,12617945.8274038,226824831.961864,57111836.499996,370287234.894298,-343323754.63222,386954900.792534,588572753.756256,898981917.589981,-0.0280588624769391,-0.826655022299914,-0.066728620983804,0.0109796528257696,0.197374274804381,0.0496965310827533,0.322209759065839,-0.298747172024996,0.336713323075529,0.512153450914008,0.782259607609481
"72","Maldives",531000,2019,46388,2017,9280,2018,8097,2017,1749,2017,12,2017,9858,0.0873596986817326,0.212511856514616,1559.57753648532,1543.7388034811,2795.54516630612,1570.29386070551,1538.51182667366,1100.13812686125,1147.13104986837,1050.56056221209,1729.62420405196,1052.41,711.117266184709,294.806497536512,15374315.3546722,15218177.1247167,27558484.2494457,15479956.8788349,15166649.5873489,10845161.6545982,11308417.8896024,10356426.0222868,17050635.4035442,10374657.78,7010194.01004886,2906202.45271493,156138.229955526,-12184168.8947734,-105641.52416268,207665.767323311,4529153.70007406,4065897.46506983,5017889.33238545,-1676320.04887196,4999657.57467224,8364121.34462338,12468112.9019573,0.0101557842644405,-0.792501559496807,-0.0068712994189088,0.0135073180517402,0.294592220569852,0.264460391976688,0.32638131953372,-0.109033801519007,0.325195461347997,0.544032117962348,0.810970284811301
"73","Mali",19658000,2019,1607365,2017,840,2018,63314,2015,18001,2015,338,2015,81653,0.0817664564045172,0.0507992895204263,1730.94876311029,1895.13413250389,3893.77794744795,1916.38083910264,1916.65214586597,1777.9123683592,885.250838053898,1038.5428642749,2043.86107869515,1542.21,829.199699682261,296.232483271447,141337159.354245,154743387.32134,317938650.742968,156478244.655248,156500397.666394,145171878.613634,72283386.6796149,84800140.4966384,166887388.658695,125926073.13,67706643.0781557,24188270.9565635,-13406227.9670951,-176601491.388723,-15141085.3010029,-15163238.3121489,-3834719.25938904,69053772.6746299,56537018.8576064,-25550229.3044499,15411086.2242448,73630516.2760892,117148888.397681,-0.0948528188082089,-1.24950502893646,-0.10712742048999,-0.107284159250322,-0.0271317131100518,0.48857478804675,0.400015248048838,-0.180775030580679,0.109037752666436,0.520956531265377,0.82886120630217
"74","Malta",485000,2019,25687,2018,26480,2018,8553,2018,4452,2018,147,2018,13152,0.0529628865979381,0.512009966130728,1629.67374916502,1491.49204770688,1732.6430654588,1385.6836266185,1346.09500211691,776.060911182436,1153.34660073253,713.237515120867,750.833100088237,566.13,696.909390943484,299.618062561787,21433469.1490183,19616103.4114409,22787721.5969141,18224511.0572865,17703841.4678416,10206753.1038714,15168814.4928342,9380499.79886964,9874956.93236049,7445741.76,9165752.3096887,3940576.75881262,1817365.73757745,-1354252.44789582,3208958.09173179,3729627.68117673,11226716.0451469,6264654.65618409,12052969.3501487,11558512.2166578,13987727.3890183,12267716.8393296,17492892.3902057,0.0847910212267566,-0.0631840062138445,0.149717158217421,0.174009520122297,0.523793697002201,0.292283746164863,0.562343373643773,0.539273980161407,0.652611450426772,0.572362633134053,0.816148439087701
"75","Mauritania",4526000,2019,406316,2019,1160,2018,15473,2017,3419,2017,111,2017,19003,0.0897737516570924,0.0467690172181258,1746.90563087637,1835.60565178595,3172.93828376235,1795.11314308768,1786.00734688501,1344.11446136171,1007.25479813437,895.815098275933,1552.15809089807,1152.53,777.647818810997,248.668902323518,33196447.7035436,34882014.2008885,60295346.2063359,34112535.0580953,33939497.6128559,25542207.1092565,19140862.9289475,17023174.3125376,29495660.201336,21901527.59,14777641.5008654,4725455.1508538,-1685566.49734489,-27098898.5027923,-916087.354551677,-743049.909312282,7654240.5942871,14055584.7745961,16173273.391006,3700787.50220757,11294920.1135436,18418806.2026782,28470992.5526898,-0.0507755080422342,-0.81631922622551,-0.0275959452870582,-0.022383416320565,0.230574086198688,0.423406290339184,0.487198917650445,0.111481431243998,0.340244842291903,0.554842685794724,0.857651782713203
