"","country","national_population","national_population_ref_year","school_aged_population","school_aged_population_ref_year","per_capita_gni","per_capita_gni_ref_year","isced_6_enrollment","isced_6_ref_year","isced_7_enrollment","isced_7_ref_year","isced_8_enrollment","isced_8_ref_year","university_enrollment","proportion_school_aged","proportion_school_aged_enrolled","baseline_per_capita_kg_co2e","baseline_adjusted_per_capita_kg_co2e","baseline_oecd_per_capita_kg_co2e","meatless_day_per_capita_kg_co2e","low_red_meat_per_capita_kg_co2e","no_red_meat_per_capita_kg_co2e","no_dairy_per_capita_kg_co2e","pescetarian_per_capita_kg_co2e","lacto_ovo_vegetarian_per_capita_kg_co2e","eat_lancet_per_capita_kg_co2e","two_thirds_vegan_per_capita_kg_co2e","vegan_per_capita_kg_co2e","baseline_population_kg_co2e","baseline_adjusted_population_kg_co2e","baseline_oecd_population_kg_co2e","meatless_day_population_kg_co2e","low_red_meat_population_kg_co2e","no_red_meat_population_kg_co2e","no_dairy_population_kg_co2e","pescetarian_population_kg_co2e","lacto_ovo_vegetarian_population_kg_co2e","eat_lancet_population_kg_co2e","two_thirds_vegan_population_kg_co2e","vegan_population_kg_co2e","baseline_adjusted_population_reduction_kg_co2e","baseline_oecd_population_reduction_kg_co2e","meatless_day_population_reduction_kg_co2e","low_red_meat_population_reduction_kg_co2e","no_red_meat_day_population_reduction_kg_co2e","no_dairy_population_reduction_kg_co2e","pescetarian_population_reduction_kg_co2e","lacto_ovo_vegetarian_population_reduction_kg_co2e","eat_lancet_population_reduction_kg_co2e","two_thirds_vegan_population_reduction_kg_co2e","vegan_population_reduction_kg_co2e","baseline_adjusted_population_percent_reduction_kg_co2e","baseline_oecd_population_percent_reduction_kg_co2e","meatless_day_population_percent_reduction_kg_co2e","low_red_meat_population_percent_reduction_kg_co2e","no_red_meat_day_population_percent_reduction_kg_co2e","no_dairy_population_percent_reduction_kg_co2e","pescetarian_population_percent_reduction_kg_co2e","lacto_ovo_vegetarian_population_percent_reduction_kg_co2e","eat_lancet_population_percent_reduction_kg_co2e","two_thirds_vegan_population_percent_reduction_kg_co2e","vegan_population_percent_reduction_kg_co2e"
"76","Mauritius",1268000,2019,95699,2017,12050,2018,30948,2017,4000,2017,351,2017,35299,0.0754723974763407,0.368854428990899,1380.18542220351,1254.15069160358,2769.71236343387,1240.22257104733,1251.44447591859,899.905205743365,1007.95012337338,814.077141800274,1156.65384770983,996.34,648.379863149637,345.494448922668,48719165.2183618,44270265.2629146,97768076.7168521,43778616.5353995,44174738.5554504,31765753.857535,35579631.404957,28736109.0284079,40828724.1703092,35169805.66,22887160.789319,12195608.5525213,4448899.95544721,-49048911.4984903,4940548.68296228,4544426.66291144,16953411.3608268,13139533.8134049,19983056.1899539,7890441.04805263,13549359.5583618,25832004.4290428,36523556.6658406,0.0913172451848674,-1.00676830726985,0.101408730236212,0.0932780075878372,0.347982386086476,0.269699485910992,0.410168279780428,0.161957640544276,0.278111488520644,0.530222640582251,0.749675338280943
"77","Mexico",127576000,2019,10986234,2018,9180,2018,4035251,2018,308188,2018,43744,2018,4387183,0.0861152097573211,0.399334567241149,1218.82085666489,1106.3427385943,1791.69187784695,1041.90936245603,1035.81256380265,584.071652186045,905.817681199554,505.593915463157,655.317994972215,577.57,524.656955107144,233.81901948531,5347190142.40566,4853728054.93434,7860480147.72822,4571047042.50793,4544299271.10141,2562429223.25253,3973987932.0581,2218133030.8234,2874999967.13619,2533905285.31,2301766074.27782,1025806827.36262,493462087.471317,-2513290005.32256,776143099.897736,802890871.304255,2784760919.15313,1373202210.34756,3129057111.58226,2472190175.26947,2813284857.09566,3045424068.12784,4321383315.04304,0.0922843726012167,-0.47002069094028,0.145149710264194,0.150151920900842,0.520789582002837,0.256808187810162,0.585177827653333,0.462334442843892,0.526123960841607,0.569537268550866,0.808159650200672
"78","Republic of Moldova",3536000,2019,207665,2019,2980,2018,46779,2019,17895,2019,2073,2019,66747,0.0587287895927602,0.321416704788963,885.135405201105,1174.63963779555,1657.18127042595,1255.46889403631,1180.31919573944,1212.12857379888,637.477986090727,956.665871867914,1740.44443148092,639.85,594.481993273819,304.403171012955,59080132.8909581,78403671.9039393,110611878.257121,83798782.2702418,78782765.3580207,80905945.9153535,42549743.1375978,63854576.9495677,116169444.468057,42708067.95,39679889.6050476,20317998.4556017,-19323539.0129812,-51531745.3661628,-24718649.3792837,-19702632.4670625,-21825813.0243954,16530389.7533603,-4774444.05860952,-57089311.5770986,16372064.9409581,19400243.2859106,38762134.4353564,-0.327073384358256,-0.87223475717756,-0.418391905531186,-0.33348998221495,-0.369427283866785,0.279796082785897,-0.0808130216535147,-0.966303032568766,0.277116251095362,0.3283716934374,0.656094232335228
"79","Montenegro",622000,2019,41918,2019,8430,2018,21308,2019,1318,2019,83,2019,22709,0.0673922829581994,0.54174817500835,1834.53509358136,1581.82080170576,1647.48714133538,1523.77732180553,1432.13159501334,1110.80616505209,941.469851958541,1085.08612708311,1175.51644240414,623.1,748.222022580736,331.422633018222,41660457.4401391,35921568.5859362,37412785.4925852,34603459.2008818,32522276.3911579,25225297.2021678,21379838.8681265,24641220.8599304,26694802.8905556,14149977.9,16991373.9107859,7526276.57321081,5738888.85420294,4247671.94755393,7056998.23925731,9138181.04898122,16435160.2379713,20280618.5720126,17019236.5802088,14965654.5495835,27510479.5401391,24669083.5293532,34134180.8669283,0.13775386077911,0.101959320865771,0.169393200960343,0.21934903288356,0.394502635060755,0.486807390465007,0.408522556543295,0.359229242047745,0.660349915256409,0.592146247188946,0.819342440393864
"80","Morocco",36472000,2019,2906409,2019,3090,2018,764154,2019,131464,2019,36653,2019,932271,0.0796887749506471,0.320763870466958,925.646914616253,865.392145276951,1892.15186045507,873.856048371413,821.894522036228,642.837341553249,632.730259324583,545.99382108548,924.574274212285,835.89,480.788909391763,288.538857314692,862953774.736209,806780000.669488,1763998307.0983,814670652.071266,766228427.953237,599298611.247189,589876071.590788,509014205.577181,861953783.194161,779276006.19,448225557.347568,268996409.047626,56173774.0667204,-901044532.362095,48283122.6649431,96725346.782972,263655163.48902,273077703.14542,353939569.159027,999991.542047381,83677768.5462087,414728217.388641,593957365.688583,0.0650947660364448,-1.04413997451663,0.0559509953817659,0.112086359217259,0.30552640385589,0.316445342890928,0.410148932099197,0.00115880082030241,0.096966686972066,0.48059146333234,0.68828410405893
"81","Namibia",2495000,2019,244869,2017,5220,2018,38576,2017,2292,2017,187,2017,41055,0.0981438877755511,0.167661075922228,1164.1748620815,1738.08111646734,3326.45115560963,1737.21668081294,1747.95748533332,1227.3788689925,1159.64278124486,886.352827430541,1732.03006688654,1189.75,764.625011260154,277.896958656562,47795198.9627562,71356920.2365666,136567452.193553,71321430.8307753,71762394.5603595,50390039.4664872,47609134.3840076,36389215.3301609,71108494.396027,48845186.25,31391679.8372856,11409059.6376451,-23561721.2738105,-88772253.230797,-23526231.8680191,-23967195.5976033,-2594840.50373109,186064.578748547,11405983.6325953,-23313295.4332708,-1049987.28724384,16403519.1254705,36386139.325111,-0.492972553418402,-1.85734666153334,-0.492230022650426,-0.501456131949142,-0.0542908191626754,0.00389295541783465,0.238642873764021,-0.48777483804257,-0.0219684677547223,0.343204327661713,0.76129276820177
"82","Nepal",28609000,2019,3287931,2019,970,2018,376016,2019,60270,2019,1891,2019,438177,0.114926456709427,0.133268307637843,1142.18316702611,1622.6221636898,3085.36588687217,1597.9533442412,1619.68648691783,1367.57147064472,767.110785820752,696.322151211238,1449.94042754963,1401.69,779.372416508721,357.747542918181,500478393.578,710995711.819105,1351936368.21199,700186402.519577,709709365.778196,599238364.292692,336130302.798579,305112351.251287,635330546.722412,614188319.13,341503067.348542,156756745.11326,-210517318.241105,-851457974.633987,-199708008.941577,-209230972.200196,-98759970.7146922,164348090.77942,195366042.326713,-134852153.144412,-113709925.552,158975326.229458,343721648.46474,-0.420632181014016,-1.70128817859004,-0.3990342270599,-0.41806194809804,-0.197331137531515,0.328381989888654,0.390358594563913,-0.269446503335205,-0.227202466702049,0.317646732145454,0.68678618872519
"83","Netherlands",17280000,2019,1021272,2018,51260,2018,668811,2018,180016,2018,15650,2018,864477,0.0591013888888889,0.846470871618922,1820.76103273513,1658.4842879199,1813.98218203852,1573.38989444317,1552.2347908644,1024.21137700491,1117.14167707235,962.906398709651,1062.8235335828,601.27,732.288702871573,269.190910347409,1574006035.29577,1433721521.76813,1568145874.78212,1360159375.77855,1341871275.30208,885407178.559073,965743285.570472,832410434.837323,918786499.841054,519784085.79,633046740.992309,232709350.604397,140284513.527632,5860160.51364756,213846659.517216,232134759.993681,688598856.736693,608262749.725294,741595600.458443,655219535.454711,1054221949.50577,940959294.303456,1341296684.69137,0.0891257786703925,0.0037230864318423,0.135861397429161,0.147480222304269,0.437481713090954,0.386442450718429,0.471151688004228,0.416275109981768,0.669769953777636,0.597811744811159,0.852154727881542
"84","New Zealand",4929000,2019,322712,2018,40640,2018,187577.98994,2018,19221.02733,2018,9853.82655,2018,216652.84382,0.0654721038750254,0.671350441942041,2634.20604957746,2476.23376694315,2105.5464275365,2385.2047775243,1944.30397597462,1306.38433235756,1932.57864827221,1173.23424042903,1839.03084101114,761.49,1021.79711609039,294.578790664011,570708231.848805,536483087.571345,456172621.320825,516761398.143689,421238985.645435,283031880.727158,418698660.053985,254184534.655947,398431261.57775,164978974.040492,221375251.008058,63821332.7264145,34225144.2774597,114535610.52798,53946833.7051162,149469246.20337,287676351.121647,152009571.79482,316523697.192858,172276970.271055,405729257.808313,349332980.840747,506886899.12239,0.0599695998191364,0.200690307474527,0.0945261180662416,0.261901332173125,0.504069041004932,0.266352513091297,0.554615615351265,0.301865227548873,0.710922385846716,0.612104331681156,0.888171697612165
"85","Niger",23311000,2019,1901854,2019,390,2018,42937,2019,18912,2019,1713,2019,63562,0.0815861181416499,0.0334210722799963,1335.27702970182,1214.62560214687,3632.5426643454,1126.92397883468,1241.3925992966,604.322456502587,890.645898267211,606.480807355241,600.714238961533,1496.79,576.954384437913,258.118775583435,84872878.5619074,77204032.5236594,230891676.831122,71629541.9426899,78905396.3964907,38411943.9802174,56611234.5856605,38549133.0771139,38182598.4568729,95138965.98,36672374.5836426,16406545.6136343,7668846.03824797,-146018798.269215,13243336.6192175,5967482.16541667,46460934.58169,28261643.9762469,46323745.4847935,46690280.1050344,-10266087.4180926,48200503.9782647,68466332.9482731,0.0903568509539148,-1.72044121447709,0.156037321269334,0.0703108256315816,0.547417919233183,0.332987928006147,0.545801512446693,0.550120143161846,-0.120958397924543,0.567914094525575,0.806692716311405
"86","Norway",5369000,2019,347806,2018,80610,2018,199223,2018,72404,2018,8497,2018,280124,0.0647804060346433,0.805403012023944,1934.98293818925,1719.82601709682,1805.38339924801,1632.20196866031,1671.39115842462,1014.75992205521,1293.8574501469,998.150390701144,1106.45731266874,635.99,746.494428733324,259.829291498719,542035160.577324,481764543.21323,505731219.33095,457218944.269,468196776.862537,284258608.405793,362440524.36495,279605880.044767,309945248.254018,178156062.76,209111005.354494,72784420.451787,60270617.3640946,36303941.2463738,84816216.3083245,73838383.7147869,257776552.171531,179594636.212374,262429280.532557,232089912.323306,363879097.817324,332924155.22283,469250740.125537,0.111193187725866,0.0669770964815387,0.156477332979629,0.136224343151727,0.475571643538718,0.331333923100278,0.484155456360142,0.428182393326858,0.671320099289786,0.614211363831511,0.865720112373773
"87","Oman",4975000,2019,294677,2019,15140,2018,99740,2019,5222,2019,177,2019,105139,0.0592315577889447,0.356794049077464,1836.65846843967,1800.93641656794,2410.32403298716,1780.21998370509,1757.7755633824,1221.85341083537,1409.17840358911,1088.58719664766,1655.92138652795,1000.43,803.249234531541,304.405643513341,193104434.713279,189348653.901537,253419058.504237,187170548.866769,184810764.958463,128464445.76182,148159608.174955,114452969.268338,174101918.658162,105184209.77,84452821.2694117,32004904.9533492,3755780.81174201,-60314623.7909586,5933885.8465099,8293669.75481617,64639988.9514591,44944826.5383234,78651465.4449406,19002516.0551169,87920224.9432789,108651613.443867,161099529.75993,0.0194494798491738,-0.312341991940856,0.0307288947316022,0.0429491418316239,0.33474108995703,0.232748805614213,0.407300151142164,0.0984053840261711,0.455298839065103,0.562657266805876,0.834261160284226
"88","Pakistan",216565000,2019,20964647,2018,1590,2018,1679110,2018,176844,2018,22147,2018,1878101,0.096805333271766,0.0895841938097026,1337.33913020822,1933.91677043383,2228.98748899135,1924.39434870766,1874.47914931757,1735.38831213897,733.012844624574,1159.32537409071,1867.25981835059,990.03,815.228669252402,255.884618661686,2511657957.78319,3632091020.46855,4186263632.06215,3614206950.7022,3520461164.81247,3259234524.41651,1376672156.50226,2177330144.40514,3506902532.10407,1859376333.03,1531081778.9516,480577158.193131,-1120433062.68536,-1674605674.27896,-1102548992.919,-1008803207.02928,-747576566.633321,1134985801.28094,334327813.378049,-995244574.320873,652281624.753193,980576178.831588,2031080799.59006,-0.446093011675149,-0.666733170848221,-0.438972587609868,-0.401648323133797,-0.297642664406876,0.451887088273231,0.133110407148404,-0.396250043218179,0.259701613721679,0.390409918592996,0.808661383727069
"89","Panama",4246000,2019,337038,2016,14370,2018,129295,2015,17197,2015,107,2016,146599,0.0793777673104098,0.434962823183143,1977.48063444644,2153.18806797666,2859.59313087183,2032.59589531796,2046.57654810854,972.516520219124,1896.45907513941,816.473081260279,1309.04666242305,1147.97,986.76910358503,403.560464653309,289896683.529214,315655217.57731,419213493.392679,297976525.657718,300026075.376164,142569949.347603,278019003.956363,119694137.239676,191904931.664557,168291254.03,144659363.816462,59161560.5577105,-25758534.0480958,-129316809.863465,-8079842.12850374,-10129391.8469503,147326734.181611,11877679.5728513,170202546.289538,97991751.8646574,121605429.499214,145237319.712752,230735122.971504,-0.0888541867209735,-0.44607895574781,-0.0278714541682209,-0.0349413857503807,0.50820427604776,0.0409721126445875,0.587114499612364,0.338023017965234,0.419478512202294,0.500996830817887,0.795921913153765
"90","Peru",32510000,2019,2557060,2019,6470,2018,1822684,2016,92793,2016,8896,2017,1924373,0.0786545678252845,0.752572485588919,1071.37821203796,1099.72754072535,2613.24692145526,1112.07718516962,1095.67203157056,814.155052998984,901.880049846561,695.3128428874,1186.15169616348,1057.7,612.095385338669,368.266203720658,2061731304.03412,2116285986.72827,5028861817.98163,2140051309.05642,2108481674.40953,1566738001.80481,1735553617.16338,1338041261.40575,2282598298.00121,2035409322.1,1177899832.97033,708681539.252535,-54554682.6941466,-2967130513.94751,-78320005.0222995,-46750370.3754082,494993302.229304,326177686.870744,723690042.628364,-220866993.967091,26321981.9341187,883831471.063788,1353049764.78158,-0.0264606171460856,-1.43914510496195,-0.0379874937481201,-0.0226752973503062,0.240086232993003,0.158205720712744,0.351010842786519,-0.107126953708724,0.0127669313079815,0.428684120639011,0.65626872043613
"91","Philippines",108117000,2019,10118217,2017,3830,2018,3155957,2017,236351,2017,23827,2017,3416135,0.0935858098171425,0.337622231268612,900.448027504344,1157.62462135055,2724.55947258022,1148.76675018527,1152.11993639704,817.988386021103,1100.97523393587,717.29804458346,1095.61952319361,731.12,587.108660772582,301.8506804836,3076052022.43855,3954601985.85735,9307462973.86283,3924342302.14415,3935797238.9237,2794358755.0802,3761080030.78151,2450386955.53312,3742784199.86501,2497604621.2,2005642444.86834,1031162674.37384,-878549963.418794,-6231410951.42427,-848290279.705602,-859745216.485152,281693267.358351,-685028008.342958,625665066.905436,-666732177.426455,578447401.238552,1070409577.57021,2044889348.06471,-0.285609592103816,-2.02578204333628,-0.275772410062531,-0.279496318727271,0.0915762364561823,-0.222697146649652,0.203398727440714,-0.21674931781482,0.188048640601333,0.347981623770341,0.664777231707419
"92","Poland",37895000,2019,2175600,2018,14100,2018,986723,2018,464624,2018,41318,2018,1492665,0.0574112679773057,0.686093491450634,1207.78330934653,1040.03438332402,1596.64112010923,1052.35341170705,1010.40911321512,813.676204853767,665.80850034727,771.441906626728,1126.26758200521,496.2,533.634389947629,280.434393259433,1802815873.44574,1552422922.78435,2383250317.54784,1570811105.2857,1508202318.97725,1214545992.31805,993829045.170857,1151504333.55498,1681140200.29381,740660373,796537376.671177,418594603.614591,250392950.661395,-580434444.102099,232004768.160044,294613554.468498,588269881.127696,808986828.274887,651311539.89076,121675673.151939,1062155500.44574,1006278496.77457,1384221269.83115,0.138889919014756,-0.321959914293803,0.128690218217688,0.163418549175185,0.326306135747145,0.448735137176633,0.361274575781219,0.0674920134352815,0.589164715094079,0.558170421947337,0.767810673413627
"93","Portugal",10237000,2019,542759,2018,21990,2018,205180,2018,118194,2018,20239,2018,343613,0.0530193416039855,0.633085771032816,1923.38667905841,1785.71646703971,1836.87246339562,1686.63529768688,1561.96668114376,999.831673386877,1465.84332181713,1003.0260018132,1092.14828156993,654.71,862.03712419303,400.197452769692,660900666.951299,613595392.388915,631173257.764758,579549814.544082,536712057.20785,343555160.787485,503682821.33955,344652773.56104,375276347.475088,224966867.23,296207162.355339,137513047.338552,47305274.5623845,29727409.1865411,81350852.4072169,124188609.743449,317345506.163814,157217845.611749,316247893.390259,285624319.476211,435933799.721299,364693504.59596,523387619.612747,0.0715769811227477,0.0449801470524642,0.123090891680416,0.18790813196834,0.480171260270795,0.237884229012791,0.478510476996633,0.432174355026423,0.659605628380191,0.551812886312057,0.791930838906711
"94","Romania",19358000,2019,1056350,2018,11290,2018,350263,2018,168852,2018,19756,2018,538871,0.0545691703688398,0.510125431911772,1261.12374724532,1177.49187306811,1629.46786046389,1167.03832595899,1177.49187306811,925.226817904654,688.672694402263,909.573417813183,1104.31704330424,615.06,593.723711066592,301.839630065833,679583014.801831,634516223.132086,878072975.436035,628883109.747845,634516223.132086,498577900.591099,371105743.505242,490142737.230408,595084429.4424,331437997.26,319940489.906166,162652623.293205,45066791.6697452,-198489960.634204,50699905.0539858,45066791.6697452,181005114.210732,308477271.296589,189440277.571423,84498585.3594306,348145017.541831,359642524.895665,516930391.508626,0.066315359107212,-0.292076105951654,0.0746044323499906,0.066315359107212,0.266347319265349,0.453921396764959,0.278759582634161,0.124338871806663,0.512292111425639,0.529210585112311,0.760658198114861
"95","Russian Federation",144369000,2019,6827409,2018,10230,2018,3032738,2018,1213147,2018,94582,2018,4340467,0.0472913783429961,0.635741465027216,1647.23853590004,1495.09249982558,1949.40772529717,1428.53128748915,1463.24412879889,816.573531874888,1126.77041511775,836.396581682087,1029.13798946217,656.23,714.218777197006,323.783846161175,7149784506.20242,6489399657.44043,8461339901.19744,6200492911.81419,6351162853.99534,3544310468.1764,4890709803.39489,3630351761.7039,4466939481.70692,2848344659.41,3100043033.20396,1405373099.39566,660384848.761995,-1311555394.99501,949291594.388238,798621652.20708,3605474038.02603,2259074702.80753,3519432744.49852,2682845024.49551,4301439846.79242,4049741472.99847,5744411406.80677,0.0923643010763629,-0.183439849670608,0.13277205677524,0.111698702459393,0.50427730163032,0.31596402672665,0.492243191587861,0.375234389535537,0.601618110736195,0.566414479972833,0.803438397594152
"96","Rwanda",12627000,2019,1156752,2019,780,2018,63557,2019,4214,2019,51,2019,67822,0.0916094084105488,0.0586314093254215,471.406474302038,641.203473000127,2695.12300637006,617.600314691186,641.203473000127,491.570236432703,484.185320405404,425.26341649711,475.981364837544,1130.97,408.618958962058,292.326701943024,31971729.9001128,43487701.9458146,182788632.53803,41886888.5429856,43487701.9458146,33339276.5753388,32838416.8005353,28842215.433667,32282008.1260119,76704647.34,27713355.0347247,19826181.5791797,-11515972.0457018,-150816902.637918,-9915158.6428728,-11515972.0457018,-1367546.67522598,-866686.900422461,3129514.46644583,-310278.225899059,-44732917.4398872,4258374.86538813,12145548.3209331,-0.360192334968435,-4.71719556962056,-0.310122682565194,-0.360192334968435,-0.0427736215556218,-0.0271079138704785,0.0978838016029526,-0.00970476814574755,-1.39913972686631,0.13319188166209,0.379883989977353
"97","Saudi Arabia",34269000,2019,2331521,2019,21600,2018,1305312,2019,81212,2019,10541,2019,1397065,0.0680358633167002,0.599207555925938,1424.23940461934,1383.56441950102,2647.01530386897,1371.64286629694,1367.45756448789,937.479756494425,1131.86950796962,746.880725717104,1300.10482536586,982.49,649.632289964494,282.658683778098,1989755023.81452,1932929425.73019,3698052435.49971,1916274241.00314,1910427102.33127,1309720156.00688,1581295274.15157,1043440921.07397,1816330947.84975,1372602391.85,907578535.179245,394892554.052449,56825598.084332,-1708297411.68519,73480782.811377,79327921.4832428,680034867.807634,408459749.662947,946314102.740552,173424075.964768,617152631.964518,1082176488.63527,1594862469.76207,0.0285590926542268,-0.858546600581134,0.0369295626506366,0.0398681850447925,0.341768137116676,0.205281426494352,0.475593272244336,0.0871585063935661,0.310165133183776,0.543874233603217,0.801537099127204
"98","Senegal",16296000,2019,1486053,2019,1410,2018,148277,2019,38136,2019,8296,2019,194709,0.0911912739322533,0.13102426360298,919.593838768552,1360.79801520506,3628.94202602667,1432.67535009552,1377.16889424843,1025.24864643707,954.865929803085,660.979984944505,1863.94193709575,1916.8,644.098306465432,285.749061290971,179053196.752786,264959620.742563,706587672.945628,278954784.74175,268147178.230218,199625138.699116,185920990.326029,128698751.88856,362926270.629976,373218211.2,125411737.153578,55637913.9749037,-85906423.9897766,-527534476.192842,-99901587.9889637,-89093981.4774323,-20571941.9463299,-6867793.57324296,50354444.8642262,-183873073.87719,-194165014.447214,53641459.5992081,123415282.777882,-0.479781570771872,-2.94624438859472,-0.557943615644546,-0.497583863863889,-0.114892905122119,-0.0383561628487714,0.281226170643294,-1.02691868791965,-1.08439848027563,0.299583925738391,0.689266011532195
"99","Serbia",6955000,2019,368449,2019,6390,2018,191014,2019,47350,2019,11407,2019,249771,0.052976132278936,0.677898433704529,927.189615985712,976.67617415611,1529.25370552151,944.950919067482,912.901387595027,702.474529544645,647.535202539695,643.382151774907,754.59938853571,565.57,512.344271516357,280.178320196481,231585077.574367,243945384.695146,381963227.281814,236021336.006404,228016292.480998,175457765.718896,161735515.073542,160698203.43097,188477043.873953,141262984.47,127968741.040912,69980419.2137952,-12360307.1207785,-150378149.707446,-4436258.43203667,3568785.09336969,56127311.8554716,69849562.5008251,70886874.1433971,43108033.7004144,90322093.1043673,103616336.533455,161604658.360572,-0.0533726406305662,-0.649343002936606,-0.0191560634152349,0.015410254973029,0.242361521922534,0.301615126641287,0.306094308346071,0.186143399876753,0.390016895952041,0.447422336614852,0.697819825237562
"100","Slovakia",5448000,2019,318395,2018,18260,2018,79000,2018,55816,2018,6991,2018,141807,0.0584425477239354,0.445380737762842,852.139822429945,1133.52380328704,1464.85056603411,1107.0114068968,942.137837989017,794.764668218213,713.36825189368,741.92063393939,947.937028555384,506.97,571.093566728034,289.874892090661,120839391.799323,160741609.972725,207726064.217599,156981966.577814,133601740.391709,112703193.30602,101160611.696287,105209539.337043,134424106.208353,71891894.79,80985065.4170024,41106288.8227004,-39902218.1734014,-86886672.4182762,-36142574.7784912,-12762348.5923853,8136198.4933031,19678780.1030361,15629852.4622801,-13584714.4090301,48947497.0093232,39854326.3823209,79733102.9766228,-0.330208697505418,-0.71902606529639,-0.299095967302722,-0.105614141236159,0.0673306806013622,0.162850704642046,0.129344017952659,-0.112419586086548,0.405062424433664,0.3298123715196,0.659827079476159
"101","Slovenia",2067000,2019,99249,2018,24580,2018,41840,2018,21517,2018,2824,2018,66181,0.0480159651669086,0.666817801690697,1618.28185884628,1433.01885869516,1739.15156742795,1390.46792617876,1343.15946039507,1001.45113188502,1103.50108014981,912.929268831488,1135.16198242166,620.56,721.084403029849,365.118170754414,107099511.700305,94838621.0873042,115098789.883949,92022557.8224363,88891636.2484064,66277037.3592828,73030804.9853949,60418571.9405367,75126155.1586477,41069281.36,47722086.8769184,24163885.6586978,12260890.6130012,-7999278.18364391,15076953.8778691,18207875.451899,40822474.3410226,34068706.7149106,46680939.7597687,31973356.5416578,66030230.3403054,59377424.823387,82935626.0416076,0.114481293316356,-0.0746901461701164,0.140775187846408,0.170008949273735,0.381163963242479,0.318103287064878,0.435865103572042,0.298538770476641,0.6165315722921,0.554413590507693,0.774379123909405
"102","South Africa",58558000,2019,4947845,2018,5750,2018,729513,2018,62930,2018,23730,2018,816173,0.0844947744116944,0.164955248193911,1421.93745415117,1373.43996980233,2239.09000036962,1353.60840216563,1351.92414417169,838.85489696186,1255.00062007894,589.634384304285,1234.61899634542,935.43,633.722091757245,263.863152734703,1160546957.76692,1120964620.47348,1827484802.87168,1104778630.42073,1103403984.52104,684650717.818052,1024297621.09169,481243664.340781,1007662690.10423,763472709.39,517226860.795786,215357980.956941,39582337.2934418,-666937845.104757,55768327.3461916,57142973.245882,475896239.948868,136249336.675231,679303293.426138,152884267.66269,397074248.37692,643320096.971133,945188976.809979,0.034106622768289,-0.574675449917213,0.0480534863091615,0.0492379673768947,0.410062028739078,0.117400968365293,0.585330295237022,0.131734667554396,0.34214406036698,0.5543249178034,0.814434065320955
"103","Spain",46719000,2019,2251968,2018,29340,2018,1212026,2018,339934,2018,85480,2018,1637440,0.0482024015924998,0.727115127746043,1669.86092899348,1516.23940346476,1760.48102402042,1460.84256019121,1298.61878232079,898.626319097924,1260.62230940507,883.42591620204,1128.42072461469,596.29,722.17743495224,325.131523468547,2734297079.57108,2482751048.80934,2882682047.972,2392042041.75949,2126410338.92335,1471446679.9437,2064193394.31224,1446556932.22587,1847721231.31308,976389097.6,1182522219.0882,532383361.788338,251546030.76174,-148384968.400925,342255037.811589,607886740.647723,1262850399.62737,670103685.258836,1287740147.34521,886575848.258001,1757907981.97108,1551774860.48288,2201913717.78274,0.0919965985558523,-0.0542680491851317,0.125171123638576,0.22231920049561,0.46185559318429,0.245073474373148,0.470958388891383,0.324242692896075,0.642910382747012,0.567522407157859,0.805294250662824
"104","Sri Lanka",21757000,2019,1542373,2019,4060,2018,229789,2019,44693,2019,4684,2019,279166,0.0708908856919612,0.180997722340835,584.018396448285,857.051450307825,2567.99325204139,891.332050647617,846.733166509264,789.418141034622,555.967634008699,604.041827680734,1097.01565268637,1462.98,481.873545032467,294.284592394787,163038079.662882,239259625.176634,716896404.199386,248829603.251093,236379111.161725,220378704.760071,155207260.515673,168627940.86632,306249471.697843,408414274.68,134522710.072534,82154252.5204832,-76221545.5137524,-553858324.536504,-85791523.5882107,-73341031.4988433,-57340625.0971895,7830819.14720923,-5589861.20343807,-143211392.034961,-245376195.017118,28515369.5903482,80883827.1423986,-0.467507625650141,-3.39711020690217,-0.52620543474018,-0.44983988802182,-0.351700812569396,0.0480306144638186,-0.0342856172925759,-0.878392289280413,-1.50502382955251,0.174900058006757,0.496103899835206
"105","Sweden",10251000,2019,594891,2018,55490,2018,241045,2018,144769,2018,19682,2018,405496,0.0580324846356453,0.681630752524412,1905.66425591951,1736.445852912,1603.58317253324,1643.27983419214,1524.7632655664,991.511157291122,1198.8159245973,1001.43558646597,1084.28176129833,548.89,757.859148253348,268.565553752808,772739233.118336,704121847.572404,650246562.12954,666343399.645578,618285405.134114,402053808.236921,486115062.160509,406078124.569606,439671917.079429,222572699.44,307308853.18014,108902257.784549,68617385.5459317,122492670.988796,106395833.472758,154453827.984222,370685424.881415,286624170.957827,366661108.548729,333067316.038907,550166533.678336,465430379.938196,663836975.333787,0.0887975951072537,0.158517473604239,0.137686594536433,0.199878330702757,0.479703124928108,0.370919656558882,0.474495266752658,0.431021619925827,0.711969200086007,0.602312345472591,0.859069847734945
