country_code,country,diet,attribute,value,value_baseline,diff_baseline,%_diff_baseline,population,country_group
97,Hungary,EAT Lancet,per_capita_kg_co2e, 528.59 ," 1,123.17 ", (594.58),-53%," 9,766,428 ",smaller_footprint
137,Mauritius,EAT Lancet,per_capita_kg_co2e, 996.34 ," 1,099.87 ", (103.53),-9%," 1,260,798 ",comparable_footprint
74,Gabon,EAT Lancet,per_capita_kg_co2e," 1,376.17 "," 1,099.32 ", 276.86 ,25%," 1,976,045 ",larger_footprint
8,Antigua and Barbuda,EAT Lancet,per_capita_kg_co2e, 803.47 ," 1,091.68 ", (288.21),-26%," 94,023 ",smaller_footprint
4,Algeria,EAT Lancet,per_capita_kg_co2e, 852.12 ," 1,085.26 ", (233.15),-21%," 40,148,075 ",smaller_footprint
220,Trinidad and Tobago,EAT Lancet,per_capita_kg_co2e, 919.31 ," 1,084.06 ", (164.75),-15%," 1,373,575 ",smaller_footprint
119,Latvia,EAT Lancet,per_capita_kg_co2e, 457.07 ," 1,075.78 ", (618.71),-58%," 1,986,065 ",smaller_footprint
115,Cambodia,EAT Lancet,per_capita_kg_co2e," 1,749.41 "," 1,068.44 ", 680.97 ,64%," 15,642,910 ",larger_footprint
110,Japan,EAT Lancet,per_capita_kg_co2e, 594.41 ," 1,054.13 ", (459.72),-44%," 127,854,940 ",smaller_footprint
53,Benin,EAT Lancet,per_capita_kg_co2e," 2,628.28 "," 1,042.92 "," 1,585.36 ",152%," 10,727,513 ",larger_footprint
207,Suriname,EAT Lancet,per_capita_kg_co2e, 890.95 ," 1,036.02 ", (145.06),-14%," 561,950 ",smaller_footprint
27,Bulgaria,EAT Lancet,per_capita_kg_co2e, 585.97 ," 1,029.73 ", (443.75),-43%," 7,174,945 ",smaller_footprint
188,Saint Kitts and Nevis,EAT Lancet,per_capita_kg_co2e, 753.97 ," 1,017.30 ", (263.33),-26%," 51,413 ",smaller_footprint
233,Burkina Faso,EAT Lancet,per_capita_kg_co2e," 1,910.79 "," 1,010.78 ", 900.01 ,89%," 18,384,060 ",larger_footprint
112,Jordan,EAT Lancet,per_capita_kg_co2e," 1,209.74 "," 1,009.88 ", 199.86 ,20%," 9,381,385 ",larger_footprint
222,Tunisia,EAT Lancet,per_capita_kg_co2e, 733.27 ," 1,004.49 ", (271.22),-27%," 11,245,133 ",smaller_footprint
121,Lebanon,EAT Lancet,per_capita_kg_co2e, 857.73 ," 1,001.73 ", (144.00),-14%," 6,581,843 ",smaller_footprint
199,Slovakia,EAT Lancet,per_capita_kg_co2e, 506.97 , 989.67 , (482.71),-49%," 5,438,578 ",smaller_footprint
272,Serbia,EAT Lancet,per_capita_kg_co2e, 565.57 , 988.48 , (422.91),-43%," 8,864,665 ",smaller_footprint
216,Thailand,EAT Lancet,per_capita_kg_co2e, 754.74 , 981.51 , (226.77),-23%," 68,833,595 ",smaller_footprint
114,Kenya,EAT Lancet,per_capita_kg_co2e," 1,071.01 ", 981.11 , 89.91 ,9%," 48,462,768 ",comparable_footprint
215,Tanzania,EAT Lancet,per_capita_kg_co2e," 1,799.06 ", 978.78 , 820.28 ,84%," 52,288,190 ",larger_footprint
23,Belize,EAT Lancet,per_capita_kg_co2e, 849.91 , 970.81 , (120.91),-12%," 364,618 ",smaller_footprint
191,Saint Vincent and the Grenadines,EAT Lancet,per_capita_kg_co2e, 749.45 , 964.57 , (215.12),-22%," 109,325 ",smaller_footprint
171,Philippines,EAT Lancet,per_capita_kg_co2e, 731.12 , 960.10 , (228.98),-24%," 102,865,775 ",smaller_footprint
102,Iran,EAT Lancet,per_capita_kg_co2e, 885.97 , 956.93 , (70.96),-7%," 79,048,963 ",comparable_footprint
230,Ukraine,EAT Lancet,per_capita_kg_co2e, 557.65 , 953.45 , (395.81),-42%," 44,808,645 ",smaller_footprint
55,Dominica,EAT Lancet,per_capita_kg_co2e, 724.98 , 944.19 , (219.22),-23%," 71,258 ",smaller_footprint
132,Maldives,EAT Lancet,per_capita_kg_co2e," 1,052.41 ", 940.80 , 111.61 ,12%," 465,460 ",larger_footprint
129,Madagascar,EAT Lancet,per_capita_kg_co2e," 1,764.24 ", 940.22 , 824.01 ,88%," 24,572,215 ",larger_footprint
109,Jamaica,EAT Lancet,per_capita_kg_co2e, 920.69 , 938.92 , (18.23),-2%," 2,898,313 ",comparable_footprint
35,Cabo Verde,EAT Lancet,per_capita_kg_co2e, 922.45 , 927.21 , (4.76),-1%," 527,915 ",comparable_footprint
195,Senegal,EAT Lancet,per_capita_kg_co2e," 1,916.80 ", 920.59 , 996.20 ,108%," 14,791,518 ",larger_footprint
32,Cameroon,EAT Lancet,per_capita_kg_co2e," 1,719.26 ", 903.10 , 816.16 ,90%," 23,618,210 ",larger_footprint
189,Saint Lucia,EAT Lancet,per_capita_kg_co2e, 664.44 , 897.71 , (233.27),-26%," 179,600 ",smaller_footprint
143,Morocco,EAT Lancet,per_capita_kg_co2e, 835.89 , 896.30 , (60.41),-7%," 34,890,873 ",comparable_footprint
197,Sierra Leone,EAT Lancet,per_capita_kg_co2e," 1,668.43 ", 878.22 , 790.20 ,90%," 7,251,578 ",larger_footprint
2,Afghanistan,EAT Lancet,per_capita_kg_co2e," 1,379.19 ", 858.38 , 520.82 ,61%," 34,865,883 ",larger_footprint
181,Zimbabwe,EAT Lancet,per_capita_kg_co2e," 1,336.00 ", 844.82 , 491.18 ,58%," 13,917,065 ",larger_footprint
16,Bangladesh,EAT Lancet,per_capita_kg_co2e," 1,791.75 ", 842.91 , 948.83 ,113%," 157,109,058 ",larger_footprint
101,Indonesia,EAT Lancet,per_capita_kg_co2e," 1,139.07 ", 840.02 , 299.04 ,36%," 259,929,670 ",larger_footprint
251,Zambia,EAT Lancet,per_capita_kg_co2e," 1,857.54 ", 827.84 ," 1,029.70 ",124%," 16,124,053 ",larger_footprint
100,India,EAT Lancet,per_capita_kg_co2e," 1,246.99 ", 826.41 , 420.57 ,51%," 1,317,236,800 ",larger_footprint
86,Grenada,EAT Lancet,per_capita_kg_co2e, 812.16 , 816.55 , (4.39),-1%," 109,908 ",comparable_footprint
75,Gambia,EAT Lancet,per_capita_kg_co2e," 1,594.26 ", 812.76 , 781.50 ,96%," 2,118,233 ",larger_footprint
146,Republic of Moldova,EAT Lancet,per_capita_kg_co2e, 639.85 , 811.64 , (171.79),-21%," 4,067,450 ",smaller_footprint
226,Uganda,EAT Lancet,per_capita_kg_co2e," 1,567.16 ", 772.23 , 794.93 ,103%," 38,988,183 ",larger_footprint
83,Kiribati,EAT Lancet,per_capita_kg_co2e, 782.58 , 759.62 , 22.96 ,3%," 111,750 ",comparable_footprint
130,Malawi,EAT Lancet,per_capita_kg_co2e," 1,078.01 ", 619.21 , 458.80 ,74%," 16,977,578 ",larger_footprint
238,Ethiopia,EAT Lancet,per_capita_kg_co2e," 1,525.12 ", 614.36 , 910.75 ,148%," 102,233,275 ",larger_footprint
38,Sri Lanka,EAT Lancet,per_capita_kg_co2e," 1,462.98 ", 609.37 , 853.60 ,140%," 20,961,435 ",larger_footprint
249,Yemen,EAT Lancet,per_capita_kg_co2e," 1,218.94 ", 592.53 , 626.41 ,106%," 26,831,103 ",larger_footprint
159,Nigeria,EAT Lancet,per_capita_kg_co2e," 1,703.80 ", 584.80 ," 1,119.00 ",191%," 183,593,965 ",larger_footprint
81,Ghana,EAT Lancet,per_capita_kg_co2e," 1,178.86 ", 579.84 , 599.02 ,103%," 28,169,273 ",larger_footprint
25,Solomon Islands,EAT Lancet,per_capita_kg_co2e, 706.31 , 540.63 , 165.68 ,31%," 611,420 ",larger_footprint
184,Rwanda,EAT Lancet,per_capita_kg_co2e," 1,130.97 ", 530.29 , 600.68 ,113%," 11,525,623 ",larger_footprint
107,Cote d'Ivoire,EAT Lancet,per_capita_kg_co2e," 2,013.37 ", 525.88 ," 1,487.49 ",283%," 23,533,500 ",larger_footprint
46,Congo,EAT Lancet,per_capita_kg_co2e," 1,113.75 ", 511.55 , 602.19 ,118%," 4,921,193 ",larger_footprint
193,Sao Tome and Principe,EAT Lancet,per_capita_kg_co2e, 806.53 , 507.08 , 299.45 ,59%," 201,370 ",larger_footprint
217,Togo,EAT Lancet,per_capita_kg_co2e," 1,404.80 ", 502.77 , 902.03 ,179%," 7,417,395 ",larger_footprint
