country_code,country,diet,attribute,centile_up,value,centile_down,value_baseline,diff_baseline,%_diff_baseline,value_baseline_adj,diff_baseline_adj,%_diff_baseline_adj
1,Armenia,2/3_vegan,kg_co2_luc_feed_palm,0.0,0.3180732061014823,0.0,0.9548162578360768,-0.6367430517345944,-0.6668749578873537,0.954219618304447,-0.6361464122029648,-0.6666666666666667
1,Armenia,2/3_vegan,kg_co2_luc_feed_soy,0.0,12.25084069820716,0.0,36.77550213731616,-24.524661439109,-0.6668749578873537,36.75252209462147,-24.50168139641431,-0.6666666666666665
1,Armenia,2/3_vegan,kg_co2_luc_human_palm_soy,0.0,0.2436077814057649,0.0,0.24376010067253664,-0.00015231926677175545,-0.0006248736620616131,0.2436077814057649,0.0,0.0
1,Armenia,2/3_vegan,kg_co2_luc_pasture,0.0,1.1439146412953012,0.0,3.4338896710997977,-2.2899750298044967,-0.6668749578873537,3.4317439238859038,-2.287829282590603,-0.6666666666666667
1,Armenia,2/3_vegan,kg_co2e_excl_luc,289.7266532130817,784.8360924840101,136.8599641663351,1604.2125237808145,-819.3764312968044,-0.5107655121440485,1603.2100936263555,-818.3740011423454,-0.5104596112486027
1,Armenia,2/3_vegan,kg_co2e_total,289.7266532130817,798.7925288110198,136.8599641663351,1645.620491947739,-846.8279631367193,-0.5145949307755779,1644.5921870445732,-845.7996582335534,-0.5142914242791728
1,Armenia,2/3_vegan,l_blue_green_wf,1547.1147158388449,1065401.1128062187,1035.0251547789449,1441946.21779958,-376545.1049933613,-0.261136719487341,1441045.1835859679,-375644.0707797492,-0.2606747346012968
1,Armenia,2/3_vegan,l_blue_wf_brackish_pond,7.213936528606403,6.7087393596735545,0.15402029162516495,20.138802286154736,-13.430062926481181,-0.6668749578873536,20.12621807902066,-13.417478719347105,-0.6666666666666666
1,Armenia,2/3_vegan,l_blue_wf_excl_pond,33.32444285756554,171178.4530971396,22.92907271216471,186812.1597207386,-15633.706623598991,-0.08368677203330595,186695.42572237627,-15516.972625236667,-0.08311383401707463
1,Armenia,2/3_vegan,l_blue_wf_freshwater_pond,1368.947197050269,1399.1613876185156,716.9253524352557,4200.108700160072,-2800.947312541556,-0.6668749578873538,4197.484162855547,-2798.3227752370312,-0.6666666666666666
1,Armenia,2/3_vegan,l_blue_wf_total,1409.485576436441,172584.3232241178,740.0084454390455,191032.40722318483,-18448.08399906702,-0.09657044198534316,190913.03610331088,-18328.712879193074,-0.09600555966893039
1,Armenia,2/3_vegan,l_green_wf,137.62913940240378,892816.7895821008,295.0167093398992,1250913.8105763954,-358097.02099429455,-0.28626834076545277,1250132.1474826564,-357315.3579005556,-0.2858220697868365
1,Armenia,baseline,kg_co2_luc_feed_palm,0.0,0.9548162578360768,0.0,0.9548162578360768,0.0,0.0,0.954219618304447,0.0005966395316298057,0.0006252643733001157
1,Armenia,baseline,kg_co2_luc_feed_soy,0.0,36.77550213731616,0.0,36.77550213731616,0.0,0.0,36.75252209462147,0.022980042694690894,0.0006252643733000815
1,Armenia,baseline,kg_co2_luc_human_palm_soy,0.0,0.24376010067253664,0.0,0.24376010067253664,0.0,0.0,0.2436077814057649,0.00015231926677175545,0.0006252643733003139
1,Armenia,baseline,kg_co2_luc_pasture,0.0,3.4338896710997977,0.0,3.4338896710997977,0.0,0.0,3.4317439238859038,0.0021457472138939337,0.0006252643732998051
1,Armenia,baseline,kg_co2e_excl_luc,288.764933830881,1604.2125237808145,137.35818472081576,1604.2125237808145,0.0,0.0,1603.2100936263555,1.0024301544590344,0.0006252643732996987
1,Armenia,baseline,kg_co2e_total,288.764933830881,1645.620491947739,137.35818472081576,1645.620491947739,0.0,0.0,1644.5921870445732,1.0283049031659175,0.0006252643732996449
1,Armenia,baseline,l_blue_green_wf,4644.246214656201,1441946.21779958,3107.016957401093,1441946.21779958,0.0,0.0,1441045.1835859679,901.0342136120889,0.0006252643733001564
1,Armenia,baseline,l_blue_wf_brackish_pond,21.655341438326964,20.138802286154736,0.4623497850788496,20.138802286154736,0.0,0.0,20.12621807902066,0.012584207134075598,0.0006252643732998815
1,Armenia,baseline,l_blue_wf_excl_pond,100.03583833333323,186812.1597207386,68.8302283333334,186812.1597207386,0.0,0.0,186695.42572237627,116.7339983623242,0.0006252643733002459
1,Armenia,baseline,l_blue_wf_freshwater_pond,4109.40945288454,4200.108700160072,2152.120860949347,4200.108700160072,0.0,0.0,4197.484162855547,2.6245373045248925,0.000625264373300082
1,Armenia,baseline,l_blue_wf_total,4231.1006326562,191032.40722318483,2221.413439067759,191032.40722318483,0.0,0.0,190913.03610331088,119.37111987394746,0.0006252643733000551
1,Armenia,baseline,l_green_wf,413.14558200000056,1250913.8105763954,885.6035183333338,1250913.8105763954,0.0,0.0,1250132.1474826564,781.6630937389564,0.0006252643733008239
1,Armenia,baseline_adjusted,kg_co2_luc_feed_palm,0.0,0.954219618304447,0.0,0.9548162578360768,-0.0005966395316298057,-0.0006248736620614151,0.954219618304447,0.0,0.0
1,Armenia,baseline_adjusted,kg_co2_luc_feed_soy,0.0,36.75252209462147,0.0,36.77550213731616,-0.022980042694690894,-0.000624873662061381,36.75252209462147,0.0,0.0
1,Armenia,baseline_adjusted,kg_co2_luc_human_palm_soy,0.0,0.2436077814057649,0.0,0.24376010067253664,-0.00015231926677175545,-0.0006248736620616131,0.2436077814057649,0.0,0.0
1,Armenia,baseline_adjusted,kg_co2_luc_pasture,0.0,3.4317439238859038,0.0,3.4338896710997977,-0.0021457472138939337,-0.0006248736620611049,3.4317439238859038,0.0,0.0
